gene,Position,Gene synonym,Ensembl,Gene description
ERVW-1,chr7:92468380-92477986,"envW, ERVWE1, HERV-7q, HERV-W, HERV-W-ENV, HERVW",ENSG00000242950,"Endogenous retrovirus group W member 1, envelope"
ESAM,chr11:124752583-124762290,W117m,ENSG00000149564,Endothelial cell adhesion molecule
ESCO1,chr18:21529284-21600884,"EFO1, ESO1, KIAA1911",ENSG00000141446,Establishment of sister chromatid cohesion N-acetyltransferase 1
ESCO2,chr8:27771949-27812640,"EFO2, RBS",ENSG00000171320,Establishment of sister chromatid cohesion N-acetyltransferase 2
ESD,chr13:46771256-46797420,NA,ENSG00000139684,Esterase D
ESF1,chr20:13714322-13784919,"bA526K24.1, C20orf6",ENSG00000089048,ESF1 nucleolar pre-rRNA processing protein homolog
ESM1,chr5:54977867-55022671,NA,ENSG00000164283,Endothelial cell specific molecule 1
ESPL1,chr12:53268299-53293638,"ESP1, KIAA0165, SEPA",ENSG00000135476,"Extra spindle pole bodies like 1, separase"
ESPN,chr1:6424776-6461367,DFNB36,ENSG00000187017,Espin
ESPNL,chr2:238100340-238133287,FLJ42568,ENSG00000144488,Espin like
ESR1,chr6:151656691-152129619,"ER-alpha, Era, ESR, NR3A1",ENSG00000091831,Estrogen receptor 1
ESR2,chr14:64084232-64338112,"ER-beta, Erb, NR3A2",ENSG00000140009,Estrogen receptor 2
ESRP1,chr8:94641074-94707466,"FLJ20171, RBM35A",ENSG00000104413,Epithelial splicing regulatory protein 1
ESRP2,chr16:68229033-68238102,"FLJ21918, RBM35B",ENSG00000103067,Epithelial splicing regulatory protein 2
ESRRA,chr11:64305497-64316743,"ERR1, ERRa, ERRalpha, ESRL1, NR3B1",ENSG00000173153,Estrogen related receptor alpha
ESRRB,chr14:76310712-76501837,"DFNB35, ERR2, ERRb, ERRbeta, ESRL2, NR3B2",ENSG00000119715,Estrogen related receptor beta
ESRRG,chr1:216503246-217137755,"ERR-gamma, ERRg, NR3B3",ENSG00000196482,Estrogen related receptor gamma
ESS2,chr22:19130279-19144684,"bis1, DGCR13, DGCR14, DGS-H, DGSI, ES2, Es2el, ESS-2",ENSG00000100056,Ess-2 splicing factor homolog
ESX1,chrX:104250038-104254933,"ESX1L, ESXR1",ENSG00000123576,ESX homeobox 1
ESYT1,chr12:56118250-56144674,"FAM62A, KIAA0747, MBC2",ENSG00000139641,Extended synaptotagmin 1
ESYT2,chr7:158730995-158830253,"CHR2SYT, FAM62B, KIAA1228",ENSG00000117868,Extended synaptotagmin 2
ESYT3,chr3:138434586-138481686,"CHR3SYT, FAM62C",ENSG00000158220,Extended synaptotagmin 3
ETAA1,chr2:67397322-67412089,ETAA16,ENSG00000143971,ETAA1 activator of ATR kinase
ETDA,chrX:135252061-135253583,NA,ENSG00000238210,Embryonic testis differentiation homolog A
ETDB,chrX:135118955-135120526,LINC00633,ENSG00000224107,Embryonic testis differentiation homolog B
ETDC,chrX:135309480-135309659,NA,ENSG00000283644,Embryonic testis differentiation homolog C
ETF1,chr5:138506095-138543236,"ERF, ERF1, RF1, SUP45L1, TB3-1",ENSG00000120705,Eukaryotic translation termination factor 1
ETFA,chr15:76188555-76311730,"EMA, GA2, MADD",ENSG00000140374,Electron transfer flavoprotein subunit alpha
ETFB,chr19:51345169-51366388,NA,ENSG00000105379,Electron transfer flavoprotein subunit beta
ETFBKMT,chr12:31647160-31673114,"C12orf72, DKFZp451L235, METTL20, MGC50559",ENSG00000139160,Electron transfer flavoprotein subunit beta lysine methyltransferase
ETFDH,chr4:158671968-158710742,ETFQO,ENSG00000171503,Electron transfer flavoprotein dehydrogenase
ETFRF1,chr12:25195216-25209645,LYRM5,ENSG00000205707,Electron transfer flavoprotein regulatory factor 1
ETHE1,chr19:43506719-43527230,"HSCO, YF13H12",ENSG00000105755,ETHE1 persulfide dioxygenase
ETNK1,chr12:22625075-22690665,"EKI, EKI1",ENSG00000139163,Ethanolamine kinase 1
ETNK2,chr1:204131062-204152044,"EKI2, FLJ10761",ENSG00000143845,Ethanolamine kinase 2
ETNPPL,chr4:108742048-108763054,AGXT2L1,ENSG00000164089,Ethanolamine-phosphate phospho-lyase
ETS1,chr11:128458761-128587558,"ETS-1, EWSR2, FLJ10768",ENSG00000134954,"ETS proto-oncogene 1, transcription factor"
ETS2,chr21:38805183-38824955,NA,ENSG00000157557,"ETS proto-oncogene 2, transcription factor"
ETV1,chr7:13891229-13991425,ER81,ENSG00000006468,ETS variant transcription factor 1
ETV2,chr19:35641745-35644871,ER71,ENSG00000105672,ETS variant transcription factor 2
ETV3,chr1:157121191-157138474,PE-1,ENSG00000117036,ETS variant transcription factor 3
ETV3L,chr1:157092043-157112412,FLJ16478,ENSG00000253831,ETS variant transcription factor 3 like
ETV4,chr17:43527844-43579620,"E1A-F, E1AF, PEA3",ENSG00000175832,ETS variant transcription factor 4
ETV5,chr3:186046314-186110318,ERM,ENSG00000244405,ETS variant transcription factor 5
ETV6,chr12:11649674-11895377,TEL,ENSG00000139083,ETS variant transcription factor 6
ETV7,chr6:36354091-36387800,"TEL-2, TEL2",ENSG00000010030,ETS variant transcription factor 7
EVA1A,chr2:75469302-75569722,"FAM176A, FLJ13391, TMEM166",ENSG00000115363,"Eva-1 homolog A, regulator of programmed cell death"
EVA1B,chr1:36322030-36324154,"C1orf78, FAM176B, FLJ10647",ENSG00000142694,Eva-1 homolog B
EVA1C,chr21:32412006-32515397,"B18, B19, C21orf63, C21orf64, FAM176C, PRED34",ENSG00000166979,Eva-1 homolog C
EVC,chr4:5711201-5814305,"DWF-1, EVC1",ENSG00000072840,EvC ciliary complex subunit 1
EVC2,chr4:5542772-5709548,LBN,ENSG00000173040,EvC ciliary complex subunit 2
EVI2A,chr17:31316410-31321749,"EVDA, EVI2",ENSG00000126860,Ecotropic viral integration site 2A
EVI2B,chr17:31303770-31314105,"CD361, D17S376, EVDB",ENSG00000185862,Ecotropic viral integration site 2B
EVI5,chr1:92508696-92792404,NB4S,ENSG00000067208,Ecotropic viral integration site 5
EVI5L,chr19:7830218-7864976,NA,ENSG00000142459,Ecotropic viral integration site 5 like
EVL,chr14:99971449-100144236,RNB6,ENSG00000196405,Enah/Vasp-like
EVPL,chr17:76004502-76027306,EVPK,ENSG00000167880,Envoplakin
EVPLL,chr17:18377778-18389647,NA,ENSG00000214860,Envoplakin like
EVX1,chr7:27242700-27250493,NA,ENSG00000106038,Even-skipped homeobox 1
EVX2,chr2:176077472-176083962,NA,ENSG00000174279,Even-skipped homeobox 2
EWSR1,chr22:29268009-29300525,EWS,ENSG00000182944,EWS RNA binding protein 1
EXD1,chr15:41182725-41230757,"EXDL1, MGC33637",ENSG00000178997,Exonuclease 3'-5' domain containing 1
EXD2,chr14:69191498-69244020,"C14orf114, EXDL2, FLJ10738",ENSG00000081177,Exonuclease 3'-5' domain containing 2
EXD3,chr9:137306896-137423211,"FLJ20433, LOC54932, mut-7, Nbr",ENSG00000187609,Exonuclease 3'-5' domain containing 3
EXO1,chr1:241847967-241895148,"HEX1, hExoI",ENSG00000174371,Exonuclease 1
EXO5,chr1:40508741-40516038,"C1orf176, DEM1, FLJ21144",ENSG00000164002,Exonuclease 5
EXOC1,chr4:55853648-55905086,"BM-102, FLJ10893, SEC3, SEC3L1, Sec3p",ENSG00000090989,Exocyst complex component 1
EXOC1L,chr4:55819790-55837489,NA,ENSG00000250821,Exocyst complex component 1 like
EXOC2,chr6:485154-693139,"FLJ11026, Sec5, SEC5L1",ENSG00000112685,Exocyst complex component 2
EXOC3,chr5:443175-471937,"Sec6, SEC6L1",ENSG00000180104,Exocyst complex component 3
EXOC3L1,chr16:67184379-67190185,"EXOC3L, FLJ35539, FLJ35587",ENSG00000179044,Exocyst complex component 3 like 1
EXOC3L2,chr19:45212370-45245407,"FLJ36147, XTP7",ENSG00000283632,Exocyst complex component 3 like 2
EXOC3L4,chr14:103094725-103110559,C14orf73,ENSG00000205436,Exocyst complex component 3 like 4
EXOC4,chr7:133253073-134066589,"KIAA1699, MGC27170, SEC8, SEC8L1, Sec8p",ENSG00000131558,Exocyst complex component 4
EXOC5,chr14:57200507-57268905,"SEC10, SEC10L1, SEC10P",ENSG00000070367,Exocyst complex component 5
EXOC6,chr10:92826831-93059493,"DKFZp761I2124, EXOC6A, FLJ1125, MGC33397, Sec15, SEC15L, SEC15L1",ENSG00000138190,Exocyst complex component 6
EXOC6B,chr2:72175984-72826041,"KIAA0919, SEC15B, SEC15L2",ENSG00000144036,Exocyst complex component 6B
EXOC7,chr17:76081016-76121576,"BLOM4, EXO70, Exo70p, KIAA1067, YJL085W",ENSG00000182473,Exocyst complex component 7
EXOC8,chr1:231332753-231337852,"EXO84, Exo84p, SEC84",ENSG00000116903,Exocyst complex component 8
EXOG,chr3:38496127-38542161,"ENDOGL1, ENDOGL2, ENGL, ENGL-a, ENGL-b",ENSG00000157036,Exo/endonuclease G
EXOSC1,chr10:97435909-97446017,"CGI-108, CSL4, Csl4p, hCsl4p, p13, SKI4, Ski4p",ENSG00000171311,Exosome component 1
EXOSC10,chr1:11066618-11099869,"p2, p3, p4, PM-Scl, PM/Scl-100, PMSCL2, RRP6, Rrp6p",ENSG00000171824,Exosome component 10
EXOSC2,chr9:130693721-130707288,"hRrp4p, p7, RRP4, Rrp4p",ENSG00000130713,Exosome component 2
EXOSC3,chr9:37759234-37832117,"CGI-102, hRrp-40, hRrp40p, p10, RRP40, Rrp40p",ENSG00000107371,Exosome component 3
EXOSC4,chr8:144078648-144080648,"FLJ20591, hRrp41p, p12A, RRP41, RRP41A, Rrp41p, SKI6, Ski6p",ENSG00000178896,Exosome component 4
EXOSC5,chr19:41386371-41397362,"hRrp46p, MGC12901, p12B, RRP41B, RRP46, Rrp46p",ENSG00000077348,Exosome component 5
EXOSC6,chr16:70246778-70251940,"EAP4, hMtr3p, MTR3, Mtr3p, p11",ENSG00000223496,Exosome component 6
EXOSC7,chr3:44975241-45036066,"EAP1, hRrp42p, KIAA0116, p8, RRP42, Rrp42p",ENSG00000075914,Exosome component 7
EXOSC8,chr13:36998816-37025881,"bA421P11.3, CIP3, EAP2, OIP2, p9, RRP43, Rrp43p",ENSG00000120699,Exosome component 8
EXOSC9,chr4:121801318-121817021,"p5, p6, PM/Scl-75, PMSCL1, RRP45, Rrp45p",ENSG00000123737,Exosome component 9
EXPH5,chr11:108505435-108593768,SLAC2-B,ENSG00000110723,Exophilin 5
EXT1,chr8:117794490-118111826,"LGCR, LGS, ttv",ENSG00000182197,Exostosin glycosyltransferase 1
EXT2,chr11:44095648-44251962,SOTV,ENSG00000151348,Exostosin glycosyltransferase 2
EXTL1,chr1:26019884-26036464,"EXTL, MGC70794",ENSG00000158008,Exostosin like glycosyltransferase 1
EXTL2,chr1:100872372-100895179,NA,ENSG00000162694,Exostosin like glycosyltransferase 2
EXTL3,chr8:28600469-28756561,"botv, REGR",ENSG00000012232,Exostosin like glycosyltransferase 3
EYA1,chr8:71197433-71592025,BOR,ENSG00000104313,EYA transcriptional coactivator and phosphatase 1
EYA2,chr20:46894624-47188844,EAB1,ENSG00000064655,EYA transcriptional coactivator and phosphatase 2
EYA3,chr1:27970344-28088637,DKFZp686C132,ENSG00000158161,EYA transcriptional coactivator and phosphatase 3
EYA4,chr6:133240514-133532128,"CMD1J, DFNA10",ENSG00000112319,EYA transcriptional coactivator and phosphatase 4
EYS,chr6:63719980-65707226,"bA166P24.2, bA307F22.3, bA74E24.1, C6orf178, C6orf179, C6orf180, dJ1018A4.2, dJ303F19.1, EGFL10, EGFL11, RP25, SPAM",ENSG00000188107,Eyes shut homolog
EZH1,chr17:42700275-42745049,"KIAA0388, KMT6B",ENSG00000108799,Enhancer of zeste 1 polycomb repressive complex 2 subunit
EZH2,chr7:148807257-148884321,"ENX-1, EZH1, KMT6, KMT6A",ENSG00000106462,Enhancer of zeste 2 polycomb repressive complex 2 subunit
EZHIP,chrX:51406948-51408843,"CATACOMB, CXorf67",ENSG00000187690,EZH inhibitory protein
EZR,chr6:158765741-158819368,VIL2,ENSG00000092820,Ezrin
F10,chr13:113122799-113149529,NA,ENSG00000126218,Coagulation factor X
F11,chr4:186266189-186289681,FXI,ENSG00000088926,Coagulation factor XI
F11R,chr1:160995211-161021343,"CD321, JAM-1, JAM-A, JAM1, JAMA, JCAM, PAM-1",ENSG00000158769,F11 receptor
F12,chr5:177402133-177416583,NA,ENSG00000131187,Coagulation factor XII
F13A1,chr6:6144084-6321013,F13A,ENSG00000124491,Coagulation factor XIII A chain
F13B,chr1:197038741-197067260,FXIIIB,ENSG00000143278,Coagulation factor XIII B chain
F2,chr11:46719196-46739506,NA,ENSG00000180210,"Coagulation factor II, thrombin"
F2R,chr5:76716126-76735770,"CF2R, PAR-1, PAR1, TR",ENSG00000181104,Coagulation factor II thrombin receptor
F2RL1,chr5:76818933-76835315,"GPR11, PAR2",ENSG00000164251,F2R like trypsin receptor 1
F2RL2,chr5:76615482-76623413,PAR3,ENSG00000164220,Coagulation factor II thrombin receptor like 2
F2RL3,chr19:16888999-16892606,PAR4,ENSG00000127533,F2R like thrombin or trypsin receptor 3
F3,chr1:94529173-94541759,"CD142, TF",ENSG00000117525,"Coagulation factor III, tissue factor"
F5,chr1:169511951-169586588,NA,ENSG00000198734,Coagulation factor V
F7,chr13:113105788-113120685,NA,ENSG00000057593,Coagulation factor VII
F8,chrX:154835788-155026940,"DXS1253E, F8C, FVIII, HEMA",ENSG00000185010,Coagulation factor VIII
F8A1,chrX:154886355-154888061,"DXS522E, F8A",ENSG00000288722,Coagulation factor VIII associated 1
F8A2,chrX:155382095-155383801,NA,ENSG00000288709,Coagulation factor VIII associated 2
F8A3,chrX:155456914-155458620,NA,ENSG00000277150,Coagulation factor VIII associated 3
F9,chrX:139530739-139563459,FIX,ENSG00000101981,Coagulation factor IX
FA2H,chr16:74712955-74774831,"FAAH, FAXDC1, FLJ25287, SPG35",ENSG00000103089,Fatty acid 2-hydroxylase
FAAH,chr1:46394317-46413848,FAAH-1,ENSG00000117480,Fatty acid amide hydrolase
FAAH2,chrX:57286706-57489193,"AMDD, FAAH-2, FLJ31204, RP11-479E16.1",ENSG00000165591,Fatty acid amide hydrolase 2
FAAP100,chr17:81539885-81553961,"C17orf70, FLJ22175",ENSG00000185504,FA core complex associated protein 100
FAAP20,chr1:2184461-2212720,"C1orf86, FLJ31031",ENSG00000162585,FA core complex associated protein 20
FAAP24,chr19:32972209-32978229,"C19orf40, FLJ46828, MGC32020",ENSG00000131944,FA core complex associated protein 24
FABP1,chr2:88122982-88128062,L-FABP,ENSG00000163586,Fatty acid binding protein 1
FABP12,chr8:81524981-81590139,NA,ENSG00000197416,Fatty acid binding protein 12
FABP2,chr4:119317250-119322138,I-FABP,ENSG00000145384,Fatty acid binding protein 2
FABP3,chr1:31365253-31376850,"FABP11, H-FABP, MDGI, O-FABP",ENSG00000121769,Fatty acid binding protein 3
FABP4,chr8:81478419-81483236,"A-FABP, aP2",ENSG00000170323,Fatty acid binding protein 4
FABP5,chr8:81280536-81284777,"E-FABP, KFABP, PA-FABP",ENSG00000164687,Fatty acid binding protein 5
FABP6,chr5:160187367-160238735,"I-15P, I-BABP, I-BALB, I-BAP, ILBP, ILBP3, ILLBP",ENSG00000170231,Fatty acid binding protein 6
FABP7,chr6:122779716-122784074,"B-FABP, BLBP",ENSG00000164434,Fatty acid binding protein 7
FABP9,chr8:81458253-81461579,"PERF, PERF15, T-FABP",ENSG00000205186,Fatty acid binding protein 9
FADD,chr11:70203296-70207390,"GIG3, MORT1",ENSG00000168040,Fas associated via death domain
FADS1,chr11:61799627-61829318,"D5D, FADS6, FADSD5, LLCDL1, TU12",ENSG00000149485,Fatty acid desaturase 1
FADS2,chr11:61792980-61867354,"D6D, DES6, FADSD6, LLCDL2, SLL0262, TU13",ENSG00000134824,Fatty acid desaturase 2
FADS3,chr11:61873519-61892051,"CYB5RP, LLCDL3",ENSG00000221968,Fatty acid desaturase 3
FADS6,chr17:74877302-74893781,NA,ENSG00000172782,Fatty acid desaturase 6
FAF1,chr1:50437028-50960267,"CGI-03, hFAF1, HFAF1s, UBXD12, UBXN3A",ENSG00000185104,Fas associated factor 1
FAF2,chr5:176447628-176510074,"ETEA, KIAA0887, UBXD8, UBXN3B",ENSG00000113194,Fas associated factor family member 2
FAH,chr15:80152490-80186946,NA,ENSG00000103876,Fumarylacetoacetate hydrolase
FAHD1,chr16:1826967-1840207,"C16orf36, DKFZP566J2046",ENSG00000180185,Fumarylacetoacetate hydrolase domain containing 1
FAHD2A,chr2:95402708-95416616,CGI-105,ENSG00000115042,Fumarylacetoacetate hydrolase domain containing 2A
FAHD2B,chr2:97083583-97094882,DKFZp434N062,ENSG00000144199,Fumarylacetoacetate hydrolase domain containing 2B
FAIM,chr3:138608606-138633376,"FAIM1, FLJ10582",ENSG00000158234,Fas apoptotic inhibitory molecule
FAIM2,chr12:49866896-49904217,"KIAA0950, LFG, LFG2, LIFEGUARD, NMP35, TMBIM2",ENSG00000135472,Fas apoptotic inhibitory molecule 2
FAM107A,chr3:58564117-58627610,"DRR1, TU3A",ENSG00000168309,Family with sequence similarity 107 member A
FAM107B,chr10:14518557-14774897,"C10orf45, FLJ45505, HITS, MGC11034",ENSG00000065809,Family with sequence similarity 107 member B
FAM110A,chr20:833715-857463,"bA371L19.3, C20orf55",ENSG00000125898,Family with sequence similarity 110 member A
FAM110B,chr8:57994523-58204279,"C8orf72, MGC39325",ENSG00000169122,Family with sequence similarity 110 member B
FAM110C,chr2:38814-46870,NA,ENSG00000184731,Family with sequence similarity 110 member C
FAM110D,chr1:26159079-26163962,"FLJ14050, GRRP1",ENSG00000197245,Family with sequence similarity 110 member D
FAM111A,chr11:59142748-59155039,"FLJ22794, KIAA1895",ENSG00000166801,FAM111 trypsin like peptidase A
FAM111B,chr11:59107185-59127412,CANP,ENSG00000189057,FAM111 trypsin like peptidase B
FAM114A1,chr4:38867677-38945739,Noxp20,ENSG00000197712,Family with sequence similarity 114 member A1
FAM114A2,chr5:153990148-154038936,"133K02, C5orf3",ENSG00000055147,Family with sequence similarity 114 member A2
FAM117A,chr17:49710332-49789180,NA,ENSG00000121104,Family with sequence similarity 117 member A
FAM117B,chr2:202634969-202769757,"ALS2CR13, FLJ38771",ENSG00000138439,Family with sequence similarity 117 member B
FAM118A,chr22:45308968-45341955,"bK268H5.C22.4, C22orf8, FLJ20635",ENSG00000100376,Family with sequence similarity 118 member A
FAM118B,chr11:126211724-126262984,FLJ21103,ENSG00000197798,Family with sequence similarity 118 member B
FAM120A,chr9:93451685-93566112,"C9orf10, KIAA0183, OSSA",ENSG00000048828,Family with sequence similarity 120A
FAM120AOS,chr9:93431441-93453581,C9orf10OS,ENSG00000188938,Family with sequence similarity 120A opposite strand
FAM120B,chr6:170290703-170407067,"CCPG, KIAA1838, PGCC1, SAN1",ENSG00000112584,Family with sequence similarity 120B
FAM120C,chrX:54068324-54183281,"CXorf17, FLJ20506, ORF34",ENSG00000184083,Family with sequence similarity 120C
FAM124A,chr13:51222334-51284239,FLJ30707,ENSG00000150510,Family with sequence similarity 124 member A
FAM124B,chr2:224378698-224402107,FLJ22746,ENSG00000124019,Family with sequence similarity 124 member B
FAM131A,chr3:184335926-184348421,"C3orf40, MGC21688",ENSG00000175182,Family with sequence similarity 131 member A
FAM131B,chr7:143353400-143362770,KIAA0773,ENSG00000159784,Family with sequence similarity 131 member B
FAM131C,chr1:16057769-16073651,"C1orf117, FLJ36766",ENSG00000185519,Family with sequence similarity 131 member C
FAM133A,chrX:93674013-93712274,"CT115, FLJ37659, RP1-32F7.2",ENSG00000179083,Family with sequence similarity 133 member A
FAM133B,chr7:92560758-92590393,MGC40405,ENSG00000234545,Family with sequence similarity 133 member B
FAM135A,chr6:70412941-70561174,"FLJ20176, KIAA1411",ENSG00000082269,Family with sequence similarity 135 member A
FAM135B,chr8:138130023-138497261,C8ORFK32,ENSG00000147724,Family with sequence similarity 135 member B
FAM136A,chr2:70295976-70302067,FLJ14668,ENSG00000035141,Family with sequence similarity 136 member A
FAM13A,chr4:88725955-89111398,"ARHGAP48, FAM13A1, KIAA0914",ENSG00000138640,Family with sequence similarity 13 member A
FAM13B,chr5:137937960-138051961,"ARHGAP49, C5orf5, FAM13B1, KHCHP, N61",ENSG00000031003,Family with sequence similarity 13 member B
FAM13C,chr10:59246130-59363181,FAM13C1,ENSG00000148541,Family with sequence similarity 13 member C
FAM149A,chr4:186104419-186175337,"DKFZP564J102, MST119, MSTP119",ENSG00000109794,Family with sequence similarity 149 member A
FAM149B1,chr10:73168119-73244504,KIAA0974,ENSG00000138286,Family with sequence similarity 149 member B1
FAM151A,chr1:54609181-54623556,"C1orf179, MGC27169",ENSG00000162391,Family with sequence similarity 151 member A
FAM151B,chr5:80487969-80542563,UNQ9217,ENSG00000152380,Family with sequence similarity 151 member B
FAM153A,chr5:177707981-177784435,NY-REN-7,ENSG00000170074,Family with sequence similarity 153 member A
FAM156A,chrX:52926402-52995472,"PRO0659, TMEM29",ENSG00000268350,Family with sequence similarity 156 member A
FAM156B,chrX:52891306-52908560,TMEM29B,ENSG00000179304,Family with sequence similarity 156 member B
FAM161A,chr2:61824848-61854143,"FLJ13305, RP28",ENSG00000170264,FAM161 centrosomal protein A
FAM161B,chr14:73931501-73950414,"C14orf44, FLJ31697",ENSG00000156050,FAM161 centrosomal protein B
FAM162A,chr3:122384161-122412334,"C3orf28, E2IG5",ENSG00000114023,Family with sequence similarity 162 member A
FAM162B,chr6:116752197-116765719,"bA86F4.2, C6orf189",ENSG00000183807,Family with sequence similarity 162 member B
FAM163A,chr1:179743291-179816198,"C1orf76, MGC16664, NDSP",ENSG00000143340,Family with sequence similarity 163 member A
FAM163B,chr9:133577081-133609389,C9orf166,ENSG00000196990,Family with sequence similarity 163 member B
FAM167A,chr8:11421476-11475908,"C8orf13, DIORA-1",ENSG00000154319,Family with sequence similarity 167 member A
FAM167B,chr1:32247222-32248856,"C1orf90, DIORA-2, MGC10820",ENSG00000183615,Family with sequence similarity 167 member B
FAM168A,chr11:73400487-73598189,"KIAA0280, TCRP1",ENSG00000054965,Family with sequence similarity 168 member A
FAM168B,chr2:131047876-131093460,"KIAA0280L, MANI",ENSG00000152102,Family with sequence similarity 168 member B
FAM169A,chr5:74777574-74866966,"KIAA0888, SLAP75",ENSG00000198780,Family with sequence similarity 169 member A
FAM170A,chr5:119629558-119635822,ZNFD,ENSG00000164334,Family with sequence similarity 170 member A
FAM170B,chr10:49131154-49134021,"AC084727.4, C10orf73",ENSG00000172538,Family with sequence similarity 170 member B
FAM171A1,chr10:15211643-15371289,"APCN, C10orf38, FLJ12884",ENSG00000148468,Family with sequence similarity 171 member A1
FAM171A2,chr17:44353215-44363853,MGC34829,ENSG00000161682,Family with sequence similarity 171 member A2
FAM171B,chr2:186694060-186765959,"FLJ34104, KIAA1946",ENSG00000144369,Family with sequence similarity 171 member B
FAM174A,chr5:100535374-100586741,"NS5ATP6, TMEM157, UNQ1912",ENSG00000174132,Family with sequence similarity 174 member A
FAM174B,chr15:92617448-92809884,"LOC400451, MGC102891",ENSG00000185442,Family with sequence similarity 174 member B
FAM174C,chr19:1275530-1279244,"C19orf24, FLJ20640",ENSG00000228300,Family with sequence similarity 174 member C
FAM177A1,chr14:35045117-35116630,C14orf24,ENSG00000151327,Family with sequence similarity 177 member A1
FAM177B,chr1:222737202-222751004,"FLJ43505, RP11-452F19.2",ENSG00000197520,Family with sequence similarity 177 member B
FAM178B,chr2:96875882-96986580,LOC51252,ENSG00000168754,Family with sequence similarity 178 member B
